Irradiance,AmbientTemp,rload,cload,Inductor,Capacitor,k_sc,VoltageRipple_pp,VoltageRipple_rms,CurrentRipple_pp,CurrentRipple_rms,TimeDelay,Efficiency
800,15,0.002,0.005,0.0007,4e-05,12,0.002288541,0.000673947,1.792091023,0.574425921,0.212852774,92.22708702
500,40,0.001,0.002,0.0007,3e-05,8,0.002063328,0.000584282,1.675614304,0.550338634,0.351402273,91.52940805
600,20,0.005,0.002,0.001,4e-05,8,0.001471326,0.000409932,1.17473169,0.385900528,0.351402273,92.34943642
1000,20,0.002,0.005,0.001,3e-05,16,0.00171225,0.000495657,1.282422773,0.404199784,0.143697039,91.3415613
400,30,0.005,0.002,0.001,3e-05,16,0.001709264,0.000530317,1.382690112,0.438289069,0.374476293,93.82991611
700,25,0.005,0.001,0.001,3e-05,4,0.00100579,0.000336839,0.835308912,0.312204713,0.893443325,1.746097957
700,25,0.005,0.001,0.001,3e-05,32,0.001793223,0.000520849,1.365894318,0.41582545,0.158745588,92.44669344
800,15,0.001,0.002,0.001,4e-05,8,0.001490137,0.000411541,1.178871023,0.38715303,0.353627144,92.40879748
700,25,0.002,0.005,0.001,4e-05,12,0.001630537,0.000471259,1.251441811,0.401183494,0.212852774,92.55825992
900,30,0.001,0.005,0.0007,3e-05,12,0.002301641,0.00067554,1.796439044,0.575615306,0.212852774,91.96191412
900,40,0.002,0.002,0.001,3e-05,8,0.001481108,0.000411334,1.179581654,0.387092082,0.353627144,69.35769924
700,40,0.002,0.002,0.001,3e-05,2,0.001624674,0.000772534,1.287385755,0.64364976,0.813451123,89.49848327
500,25,0.002,0.005,0.0007,4e-05,12,0.002237488,0.000668382,1.778254858,0.570138578,0.212852774,93.21375466
700,25,0.002,0.001,0.001,4e-05,8,0.001482208,0.000410908,1.177439227,0.386621252,0.353627144,92.41587613
900,25,0.002,0.002,0.0007,4e-05,4,0.001423885,0.000477245,1.182623178,0.444020591,0.893443325,1.710530451
900,20,0.002,0.002,0.0007,4e-05,16,0.002358968,0.000704682,1.828261736,0.576227571,0.143697039,91.71441779
500,15,0.001,0.001,0.001,3e-05,12,0.001599081,0.00046868,1.246064167,0.399173655,0.212852774,93.25227385
500,20,0.001,0.002,0.0007,4e-05,10,0.002182949,0.000636416,1.745620052,0.565404949,0.5724306,92.9954669
500,35,0.002,0.001,0.0007,4e-05,16,0.002438007,0.000759309,1.979633497,0.627492452,0.374476293,93.82082677
