Irradiance,AmbientTemp,rload,cload,Inductor,Capacitor,k_sc_star
600.0,35.0,0.002,0.005,0.001,3e-05,26.242424242424242
400.0,35.0,0.001,0.001,0.001,3e-05,32.0
600.0,30.0,0.002,0.002,0.001,4e-05,28.060606060606062
900.0,25.0,0.002,0.002,0.0007,4e-05,9.575757575757576
400.0,30.0,0.002,0.002,0.0007,3e-05,13.515151515151516
400.0,25.0,0.002,0.002,0.0007,3e-05,13.515151515151516
1000.0,35.0,0.001,0.005,0.001,4e-05,25.03030303030303
400.0,25.0,0.005,0.005,0.0007,4e-05,16.545454545454547
400.0,20.0,0.002,0.001,0.001,4e-05,32.0
600.0,25.0,0.001,0.002,0.0007,4e-05,17.151515151515152
400.0,35.0,0.001,0.005,0.001,3e-05,15.030303030303031
1000.0,15.0,0.005,0.002,0.0007,4e-05,9.878787878787879
600.0,30.0,0.001,0.001,0.0007,3e-05,18.363636363636363
800.0,25.0,0.005,0.005,0.0007,4e-05,9.575757575757576
600.0,20.0,0.001,0.002,0.0007,4e-05,17.151515151515152
800.0,25.0,0.002,0.002,0.001,4e-05,8.06060606060606
700.0,20.0,0.005,0.005,0.001,3e-05,20.484848484848484
700.0,30.0,0.001,0.005,0.001,3e-05,18.363636363636363
600.0,20.0,0.001,0.001,0.001,4e-05,15.333333333333334
400.0,20.0,0.001,0.002,0.0007,3e-05,13.212121212121213
600.0,15.0,0.001,0.001,0.001,3e-05,15.333333333333334
800.0,35.0,0.001,0.005,0.001,4e-05,19.87878787878788
900.0,40.0,0.005,0.002,0.0007,3e-05,9.575757575757576
600.0,25.0,0.001,0.002,0.001,3e-05,15.636363636363637
800.0,30.0,0.001,0.002,0.001,4e-05,8.969696969696969
500.0,25.0,0.001,0.001,0.001,4e-05,14.727272727272728
800.0,15.0,0.001,0.002,0.001,4e-05,8.969696969696969
400.0,40.0,0.001,0.001,0.0007,3e-05,12.606060606060606
800.0,15.0,0.005,0.005,0.0007,3e-05,9.575757575757576
600.0,40.0,0.005,0.005,0.001,4e-05,23.81818181818182
700.0,35.0,0.001,0.001,0.001,4e-05,10.181818181818182
500.0,15.0,0.005,0.005,0.001,4e-05,32.0
700.0,20.0,0.001,0.005,0.001,3e-05,18.060606060606062
400.0,15.0,0.005,0.002,0.001,4e-05,32.0
900.0,15.0,0.001,0.001,0.0007,3e-05,9.575757575757576
900.0,40.0,0.001,0.005,0.001,4e-05,21.393939393939394
500.0,30.0,0.001,0.001,0.0007,4e-05,13.818181818181818
600.0,15.0,0.002,0.001,0.0007,3e-05,17.151515151515152
