Irradiance,AmbientTemp,rload,cload,fc,f_samp,Inductor,Capacitor,Vpv_avg,Ipv_avg,DutyCycleActual,Vout_avg,Iout_avg,P_out,VoltageRipple_pp,VoltageRipple_rms,CurrentRipple_pp,CurrentRipple_rms,dV,dP,Efficiency,P_in,Pmpp,TimeDelay,k_sc
1000,15,0.001,0.002,5000,40000,0.0007,4e-05,34.00340269,2.136209144,0.36159601,12.03137874,-5.556284288,66.35898414,0.002077463,0.000586404,1.682044006,0.552307344,-0.000573797,0.018263641,40.62530462,163.3439669,235.1510954,0.351402273,8
1000,15,0.001,0.002,5000,40000,0.001,3e-05,34.00416037,2.132217484,0.36159601,12.03166861,-5.566150133,66.62620567,0.001472874,0.000410685,1.177985314,0.386620495,-0.000578265,0.017628474,40.73980326,163.5408135,235.1995343,0.351402273,8
1000,15,0.001,0.002,5000,40000,0.001,4e-05,34.00416038,2.132217431,0.36159601,12.03166857,-5.566150335,66.6258134,0.001472382,0.000410637,1.17757534,0.386591346,-0.000578265,0.017628473,40.73956274,163.5408161,235.1995352,0.351402273,8
1000,15,0.001,0.002,5000,50000,0.0007,3e-05,32.88250785,4.872907819,0.381237525,12.17468487,-12.1060008,147.3968898,0.002246184,0.000643456,1.764460126,0.571012724,-0.002094256,0.076078344,91.99230122,160.2274189,160.6970465,0.5724306,10
1000,15,0.001,0.002,5000,50000,0.0007,4e-05,32.88250785,4.872907818,0.381237525,12.17468483,-12.10600107,147.3964771,0.00224552,0.00064338,1.76390683,0.570989104,-0.002094256,0.076078344,91.99204362,160.2274189,160.6970465,0.5724306,10
1000,15,0.001,0.002,5000,50000,0.001,3e-05,32.88376689,4.871536744,0.381237525,12.17486115,-12.11464006,147.5004385,0.001611255,0.000451139,1.235154214,0.399692086,-0.002099262,0.075737415,92.07931688,160.1884587,160.627209,0.5724306,10
1000,15,0.001,0.002,5000,50000,0.001,4e-05,32.88376691,4.871536727,0.381237525,12.17486112,-12.11464014,147.5001483,0.00161079,0.000451086,1.234766582,0.399675563,-0.002099262,0.075737415,92.07913597,160.1884582,160.6272085,0.5724306,10
1000,15,0.001,0.002,5000,60000,0.0007,3e-05,31.86582347,5.855456738,0.400998336,12.21336212,-13.99197952,171.0988184,0.002313323,0.00067722,1.800844562,0.576728589,-0.002593914,0.060881835,91.70151589,186.5823228,187.4123275,0.212852774,12
1000,15,0.001,0.002,5000,60000,0.0007,4e-05,31.86582347,5.85545673,0.400998336,12.21336208,-13.99197971,171.0984948,0.002312683,0.000677148,1.800311935,0.576713196,-0.002593914,0.060881835,91.70134256,186.5823226,187.4123273,0.212852774,12
1000,15,0.001,0.002,5000,60000,0.001,3e-05,31.86702578,5.854444224,0.400998336,12.21346199,-13.99771239,171.106726,0.001665226,0.000475022,1.260603059,0.403696192,-0.002598354,0.060948541,91.71815686,186.5570917,187.3683699,0.212852774,12
1000,15,0.001,0.002,5000,60000,0.001,4e-05,31.86702572,5.854444268,0.400998336,12.21346197,-13.99771253,171.1064992,0.001664778,0.000474972,1.260229878,0.403685423,-0.002598354,0.060948539,91.71803475,186.5570928,187.3683709,0.212852774,12
1000,15,0.001,0.002,5000,80000,0.0007,3e-05,30.57279787,6.740604271,0.420724095,12.23967345,-15.35965903,188.3230249,0.002372787,0.000706483,1.832969203,0.577495944,-0.00308532,0.031126692,91.38632365,206.073532,206.5086795,0.143697039,16
1000,15,0.001,0.002,5000,80000,0.0007,4e-05,30.57279779,6.740604311,0.420724095,12.23967343,-15.35965914,188.3228023,0.002372177,0.000706422,1.83246154,0.57748772,-0.00308532,0.03112669,91.38621529,206.0735327,206.5086802,0.143697039,16
1000,15,0.001,0.002,5000,80000,0.001,3e-05,30.57399867,6.739963159,0.42125,12.2397229,-15.36302666,188.2668687,0.001713034,0.00049556,1.28305571,0.404236632,-0.003088887,0.031188482,91.36417587,206.0620226,206.4882864,0.145569106,16
1000,15,0.001,0.002,5000,80000,0.001,4e-05,30.57399869,6.739963147,0.42125,12.23972287,-15.36302663,188.2667111,0.001712607,0.000495518,1.282699995,0.40423088,-0.003088887,0.031188483,91.36409947,206.0620224,206.4882862,0.145569106,16
1000,15,0.001,0.002,5000,160000,0.0007,3e-05,30.57205908,6.740929462,0.425359151,12.24002494,-15.36874711,188.3847175,0.002544276,0.000748603,1.965205506,0.598282385,-0.003331492,0.029632753,91.41433113,206.0778821,206.0440525,0.158745588,32
1000,15,0.001,0.002,5000,160000,0.0007,4e-05,30.57205907,6.74092947,0.425359151,12.24002493,-15.36874706,188.3845963,0.002543667,0.000748563,1.964698568,0.59827996,-0.003331492,0.029632753,91.41427223,206.0778822,206.0440526,0.158745588,32
1000,15,0.001,0.002,5000,160000,0.001,3e-05,30.57319321,6.740324857,0.425359151,12.24002804,-15.36965937,188.3145461,0.001836938,0.000525317,1.37569782,0.418790198,-0.003330924,0.029722908,91.38508655,206.0670436,206.0255431,0.158745588,32
1000,15,0.001,0.002,5000,160000,0.001,4e-05,30.57319316,6.740324886,0.425359151,12.24002803,-15.36965932,188.3144609,0.001836512,0.000525289,1.375342562,0.418788498,-0.003330924,0.029722907,91.38504496,206.0670441,206.0255436,0.158745588,32
1000,15,0.001,0.005,5000,10000,0.0007,3e-05,26.83792431,7.660590237,0.257425743,12.22364321,-14.82122452,181.2255321,0.002327026,0.001112796,1.854747428,0.927294199,-0.001715563,-0.01672667,88.14688973,205.5949253,205.5781514,0.813451123,2
1000,15,0.001,0.005,5000,10000,0.0007,4e-05,26.83792432,7.660590236,0.257425743,12.22364322,-14.82122726,181.2255518,0.002326494,0.00111253,1.85430313,0.927072061,-0.001715563,-0.01672667,88.14689926,205.5949254,205.5781515,0.813451123,2
1000,15,0.001,0.005,5000,10000,0.001,3e-05,26.84459372,7.660101973,0.257425743,12.22652231,-14.96393399,182.9957746,0.001661857,0.000780099,1.299456418,0.649663125,-0.001700516,-0.016595376,88.99148569,205.632902,205.6162592,0.813451123,2
1000,15,0.001,0.005,5000,10000,0.001,4e-05,26.84459372,7.660101973,0.257425743,12.22652232,-14.96393575,182.9957866,0.001661484,0.000779913,1.299145134,0.649507491,-0.001700516,-0.016595376,88.99149152,205.632902,205.6162592,0.813451123,2
1000,15,0.001,0.005,5000,20000,0.0007,3e-05,34.29380107,0.341829723,0.28358209,11.89557934,-0.475849775,3.624821018,0.001419081,0.000475746,1.178660458,0.443263228,-2.01e-05,0.002548184,1.485052537,244.087056,254.7980505,0.893443325,4
1000,15,0.001,0.005,5000,20000,0.0007,4e-05,34.29380107,0.34182972,0.28358209,11.89558004,-0.475875561,3.625531816,0.001418566,0.000475585,1.178230949,0.443072823,-2.01e-05,0.002548184,1.485343743,244.0870561,254.7980506,0.893443325,4
1000,15,0.001,0.005,5000,20000,0.001,3e-05,34.30823918,0.253339025,0.28358209,11.8920859,-0.333206012,2.54000237,0.000991627,0.000332401,0.823609684,0.309547947,-1.41e-05,0.002356749,1.025457717,247.6945005,255.3747081,0.893443325,4
